,Review_title,Review_body,Review_rating,Review_date
253,Caution!!! Not for home users...!!!,  Caution caution caution..!!! Dont buy home users...This is only recommended for hostellers or people whi travel a lot and are health conscienous...And mine was defective too...,1.0,2019-11-07
254,Bakwas product nt to buy,  Useless product . Nt working and u can't repair also just wast of money,1.0,2019-11-06
255,Good,"  Cleaning is cumbersome. Delicate glass, extra care needed to handle.",4.0,2019-11-05
256,Good,  Good,4.0,2019-11-04
257,Great for occasional usage (watch the video),"  Your browser does not support HTML5 video.


   Pros:--------✅ Compact yet powerful.✅ Rechargeable via a MicroUSB cable.✅ Simple to use.✅ Relatively easy to clean.✅ Safety feature: the blades wint turn unless the top jar is fixed on firmly.Cons:--------❌ The top glass lid is the only jar available. If it breaks, the while thing becomes unusable.❌ Water resistance seal around the charging port is quite flimsy and can break off easily.Final verdict:---------------If you're a casual user, like a student or a bachelor, who likes to whip up a smoothie or some fruit juice on a weekend, this is a great choice for you.",4.0,2019-11-04
258,Good but not great,  Nice product. Motor is powerful enough for small grinding. If you add excess Water then it flows out. I suggest  use minimum amount of water while grinding. Blades rotates once you close the lid but sometimes if you click on start blade rotates without  lid.,3.0,2019-11-03
259,Cute,"  It looks very cute ,easy to use , but its a glass jar , need to be very careful for every use",0.0,2019-11-03
260,Stopped working in 2 months,  The product was working really well for a exact period of 2 months...post that it has stopped working...the product has a 1 year warranty..how do I get the warranty????,1.0,2019-11-03
261,Dont buy,  Bot simple and takes usually long time,3.0,2019-11-02
262,Water damage very soon,  Got damaged by water within 1 month,1.0,2019-11-01
263,Blender,  Nice product but its not easy to clean,4.0,2019-10-31
264,Burnt while charging,  It got burnt while charging today and made a hole in my bed . Thank God there was no major accident/fire,1.0,2019-10-31
265,Satisfied,  Ok,3.0,2019-10-30
266,Good product,  Good product.,0.0,2019-10-30
267,Super,  Dislike is changing time,0.0,2019-10-29
268,Nice,  Good. But there should replace the glass,0.0,2019-10-29
269,I will never recommend to purchase,  You cannot blend the fruits only for protein shake. But there is another option which is better than this product in less price,3.0,2019-10-29
270,Worth product,  It very nice product but where  can I get a spare jar for it,0.0,2019-10-28
271,Good product,  Very good product,0.0,2019-10-27
272,Bakwas,  Bakwas,1.0,2019-10-26
273,Good product,  Really good product.,4.0,2019-10-25
274,Don't recommend,  It stopped working.. Don't know what to do whom to contact for service. Just used once.,1.0,2019-10-23
275,Love it,  I love it. Quality product.,0.0,2019-10-22
276,5Star,"  It's Easy to use, Portable in size.In single charge it gives 7 time usage.Perfect juicer for a travels .",0.0,2019-10-20
277,Lovely,  Good,0.0,2019-10-19
278,Must buy,  Value for money,4.0,2019-10-18
279,D,  Bottle is very delicate,2.0,2019-10-16
280,"So far, so good.","  Difficult to clean. Otherwise, a good product.",4.0,2019-10-14
281,Not Good,  Working nicely 3 days of beginning but then it stop working....Disappointed!,1.0,2019-10-13
282,Bought this coz of brand but it spoiled,"  This not working as per beginning, it wont get off automatically need to wait till battery goes down to zero  whr to claim warranty",1.0,2019-10-12
283,Nice,  Good product,4.0,2019-10-12
284,Is it available,  My bottle got broken ... is that bottle is available without machine,2.0,2019-10-12
285,Not working,  Not working,1.0,2019-10-11
286,Must buy product for travellers,  The blades are strong and can blend the fruits smoothly,0.0,2019-10-11
287,good,  This product is helpful and good to .Only carefully we have to handle it's glass.,4.0,2019-10-11
288,Help me,  I want to more extra glass jarr or plastik jar sutebal to this prodect,4.0,2019-10-10
289,Not working after one use,  Quality is good...bt did not work after one use..,1.0,2019-10-09
290,Waste money,  Don't buy this product is money is waste,1.0,2019-10-09
291,Amazon thinks we r idiots,  Product not working. And disappointed with it...,1.0,2019-10-08
292,Value for money,  Very good product,0.0,2019-10-07
293,Pathetic,  Stopped working,1.0,2019-10-07
294,Very good product,  Very good product,0.0,2019-10-07
295,Not user friendly,  Not happy with the product,2.0,2019-10-06
296,Good product,  Very good blade of blender was blunt,4.0,2019-10-06
297,Don’t buy,  Bad working mechanic,1.0,2019-10-05
298,Refund my money back,  Its not working after using thrice waste of money,1.0,2019-10-05
299,Not good,  Not worth buying. Doesn’t operate properly. It will run for a while n shut down for a min. Sometimes more than that. Can’t use for a little longer also.,1.0,2019-10-04
300,Please Don’t buy !,  Used it twice and the third time it just stopped working .,1.0,2019-10-03
301,Not worth,"  Not worth, waste of money",2.0,2019-10-03
302,Very good,  It's not working,0.0,2019-10-02
303,Brayden..!! Just go for it!! 🥤👍,"  Your browser does not support HTML5 video.


   Very useful portable juicer.....Six blades will smash any fruit or vegetable in few seconds. Most deserved by yoga practisionsers and Body Builders!!!",0.0,2019-10-02
304,Amazing,  Very nice and usefully product.,0.0,2019-10-01
305,Good product but food particle but cleaning it is difficult,  The product looks really nice.Pros:1. It makes juice easily even with hard fruits like apple and pomogranade.2. Looks very elegant.3. battery life is good.4. 6 blade so makes juice pretty fast.Cons:1. The blades are not removable so it's difficult to clean it.2. The food somehow gets stucked in the silicon surface.3. Food particle gets stucked easily and hard to clean the glass.,3.0,2019-10-01
306,Value for money.,  Excellent product. But cleaning is not so easy. If you uncausas in cleaning time your product will be damaged.,0.0,2019-09-30
307,It’s not value for money,"  it’s very noisy, for starters. And after double clicking on the said button, it works for just 5 seconds and switches off automatically. It’s quite heavy as well, so not very portable. And I tried to make banana shake after cutting it in small pieces.. I had to switch it on for around 10 times!!! And I could still see the chunks didn’t dissolve in the milk properly! Not happy for the money I paid.. kudos to amazon for fast delivery as well as the refund! I love you, Amazon, but, I was disappointed with the product.",2.0,2019-09-29
308,Worth for money,  Nice product,4.0,2019-09-22
309,It's great...But...stopped working,"  I use to make baby food and I love it. This is easy to clean and is no fuss. I charge it once a week and I can use it to make my babys food for the week. Keep in mind I use it for two meals a day so far. It mashes up boiled veggies well and also makes it easy to make juice for my little one. The only thing is that the rubber rings that are inside the device as well as the bottle cap collected food particles and developed mold!! I tried to wash them after removing them, but that was a pain. So I removed the all together. This sometimes makes juices leak. But that's better than mould in my babys food. Since I don't travel with it. It's okay.Update: After 4 months it stopped working. The blender charges forever and doesn’t start at all. What a shame.",1.0,2019-09-20
310,Don't buy,  Stopped working and unable to open to repair it.,1.0,2019-09-18
311,Worthless.,"  Doesn't do the job, not even 1% . Don't buy.",1.0,2019-09-18
312,Jar capacity is too small,"  Jar capacity is too small, even its not Making an full glass of smoothies or milkshakes. So, returning it. If jar capacity increased, then this is the best smoothies maker.",4.0,2019-09-17
313,Go for it,  Perfect for hostel/pg residents.. easy to use. Battery backup is good.,0.0,2019-09-13
314,A must buy product,"  Liked the product, earlier i thought i won't be that much helpful but it really made my work easier and fast",4.0,2019-09-12
315,Useless and not value for money not recommend to buy,"  Useless product, usage only twice a day for one shake concked off in one month waste of money",1.0,2019-09-12
316,Ok,  Good buy,3.0,2019-09-11
317,Worth money,  Worth money... Very easy to use and works awesome,0.0,2019-09-11
318,Ready steady drink,"  Easy to use,  efficient",0.0,2019-09-10
319,Don't buy,  Don't go for it it's not up to expectations level even I charged 6 hrs it was working very slow,2.0,2019-09-10
320,Grinds easily,  Working good,4.0,2019-09-08
321,Good product,  Good product for all types of blending for baby food,0.0,2019-09-08
322,Pls don't buy ..,  Not at all comfortable,1.0,2019-09-05
323,Stop working,  Stop working in just two months...... I want exchange or return ......,1.0,2019-09-03
324,Very good product,  It is very useful to use to carry anywhere in the u should just charged it and it works,0.0,2019-09-01
325,Good,  Good product valuable money and chargeing good,0.0,2019-09-01
326,"Good , but not 100% success",  Good product but glass is bed for lond time use of product,4.0,2019-08-29
327,Not up to expectation,  It stops midway even if charged full..while charging it doesn't run..,3.0,2019-08-24
328,Awesome,  Awesome,0.0,2019-08-23
329,Blades outside !!! Security purpose not preferable,  Blades are outside security purpose not preferable,0.0,2019-08-22
330,Best product in the price range,  NA,0.0,2019-08-22
331,Good but have some problem....,"  Good product but , while it's running after 10 second stopped and again click the start button......",3.0,2019-08-21
332,Used once,  The first time i have used this product.Advantage :Small size handyUse while travelling.Disadvantage:Difficult to clean it.charging remain only one time juice.,3.0,2019-08-19
333,Okie dokie,  Battery gone,2.0,2019-08-19
334,Charging Issue,  Doesn't Charge Properly,1.0,2019-08-15
335,Small size for grinder mug,  Size is very small for grinder even not equal to normal steel muh just one glass u can make at a time .Else look is goodHandeling is good,4.0,2019-08-09
336,Excellent,  Easy to use,0.0,2019-08-07
337,Great experience with this blender ❤️,  Excellent blender I've ever seen. Worth for money.... I recommend this,0.0,2019-08-06
338,Excellent,  Excellent,0.0,2019-08-04
339,Excellent,  Excellent,0.0,2019-08-04
340,Excellent product. Very handy,  Product is very goodPerforming to my needs. Only worry is that the jar is made of glass. Need to be extra careful while using it,0.0,2019-08-01
341,Filtering is tough,  Filtering is an headache,4.0,2019-07-29
342,Missing of feature,  If we charge it once it can help in juicing 5 to 6 shakes when you are juicing one shake for 4 to 5 timesAs it stops after particular time intervalIt should have the feature of making juice while charging which is a very importantIt can help when u r at home,4.0,2019-07-28
343,Good,  Good,0.0,2019-07-27
344,Mst,  Nice product,0.0,2019-07-23
345,Glass container,  Really handy. But comes with a polycarbonate glass so needs to be handled properly. If it breaks the whole setup might get useless,4.0,2019-07-23
346,Recommended,  Nice !,0.0,2019-07-23
347,Super,  Nice,0.0,2019-07-21
348,Easy to use.,  Works well and easy to use. Washable. Only problem is it hasba short duration of run time .,4.0,2019-07-21
349,Not really worth of money,  After grinding the food cleaning it is very hard as we cannot wash it due to electronic components inside.The product worked only for about 1 month after which some malfunction happened while grinding the food and it never stopped until the motor blew up.,1.0,2019-07-21
350,Overall,  Good,0.0,2019-07-19
351,Bad,  Stopped working just after a week.. terrible product but i got money returned so not much worried,2.0,2019-07-16
352,best one till date,  loved it,0.0,2019-07-14
353,Waste of money.....,  Nothing crushes in it properly . N battery backup is just 5-10mins.... didn't like the product,1.0,2019-07-10
354,Blender,"  It's more like a blender, not a efficient juicer still useful for hostelers!!",4.0,2019-07-09
355,Good,  Good,4.0,2019-07-08
356,A go for fruit blender,"  Its good for fruits, not for veggies for that u need to search for some more powerful motor blender.",4.0,2019-07-05
357,If spare is available please let me know,"  The Jar make is glass,if it breaks the set itself useless.why not unbreakable metirial.",0.0,2019-07-02
358,Amazingly amazing product,  One of the best inventions ever really good product..,0.0,2019-07-02
359,"Technical problem, Start automatically without press the button and did not stop. Serious issue",  My experience is not good with this product. It starts automatically without press the start button without Jar. That may be harmful for everybody. Please check the issue and resolve my problem. Or exchange the product. Thanks,1.0,2019-07-01
360,Value for money.,  Not easy to clean in motor area & all things are tooo goood.,0.0,2019-06-30
361,Nice,  Good,4.0,2019-06-29
362,Awful experience,  The quality of product was poor and I have received damage product after replacement too...,1.0,2019-06-26
363,Pathetic product,  Didnot start only leave aside becoming dysfunctional after a month or so.......useless product.....shear wastage of money,1.0,2019-06-21
364,very bad experience,  very bad product,1.0,2019-06-21
365,Brandon fito rush I,"  My only worry is about the glass jar, if it breaks then we need to junk the product",4.0,2019-06-20
366,Need to return,  Didn't work after 1month,2.0,2019-06-18
367,To provide a extra glass mixer jar,  I will be very much grateful to you if you provide me a extra glass mixy jar at whatever price it may be.,0.0,2019-06-18
368,Nice,  Nice,4.0,2019-06-17
369,Not oky,  it not even make proper shake of banana in 3-4 round of drilling... : (small pieces of banana come while drinking shake.....!!!,1.0,2019-06-17
370,Battery power is very slow,  Battery power is very slow.so I dislike.,1.0,2019-06-16
371,Great Product,  Easy to use and very convenient 👌🏻,0.0,2019-06-16
372,Nice,  Nice product I'm so happy and value for money,3.0,2019-06-11
373,Beautiful mixer,  Very good quality its mix very well small but powerful I loved thanks Amazon for bringing this product.,0.0,2019-06-10
374,Valuable,  Good one.meets my expectations,4.0,2019-06-03
375,Wrost,  It's wrost product ...it stops after  the use of 4-5 times,1.0,2019-06-03
376,Got Fito Rush bkender and felt very happy,  This product is nice and helpfull i can say i feel it easy to make my babies food anywhere and it is very cute,0.0,2019-06-02
377,Easy to use,"  Easy use,wash and good chopping speed..... Just need to care for glass bottle.",0.0,2019-05-31
378,My go to on journey,  I like it,4.0,2019-05-26
379,Good n cute product,"  It's a good product ,suitable for single serving. I made milk shakes with it ,it worked fine. Its does not feel cheap at all,I didn't tried it for juicing so can't say about that but mango n banana shake was good n blended. Quality is good. Easy to use n portable. The only drawback is the jar is small and of glass which is good but if by chance it breaks separate jar is not available I guess and more over it should be of 500ml . Hope it will be available soon.",4.0,2019-05-21
380,Better chance juice container glass into plastic,"  Juice container is made with glass, if unfortunately fall down means It will break definitely better to use plastic containers, we can't buy that particular container again if once it was braken, then there is no way to use this juice blender.",4.0,2019-05-21
381,Stopped working,"  It is a good one... if only it worked... it stopped working after having used it 5-6 times... for no reason at all... in spite of putting it on charge, it simply won't work anymore... unable to figure out what the issue is...",2.0,2019-05-19
382,Not worth the value,  Waste of money,1.0,2019-05-12
383,Very Useful product for traveling and daily use.,"  Hi,This product is very good for traveling purpose and daily use.Battery backup is also very good, with One hour charge you can use it for 5-6 times.Thanks Amazon for providing such a useful product for us.",0.0,2019-05-09
384,Value for money,  Its a good product! Easy to use. Value for money. Im completely satisfied with this product.,0.0,2019-05-08
385,"NOT WORKING, DISAPPOINTED","  It is not working at all.After one use, it seems to have fizzled out and is not starting at all, despite charging it for the whole night and waiting for the light indicator to change from red to blue.Will be returning this product and do not recommend it to anyone. Save your money, people.",1.0,2019-05-03
386,Fake product don't buy,  It stopped working after one time use only its not at all moving blades,1.0,2019-05-02
387,Quality Product,"  Your browser does not support HTML5 video.


   Product delivered yesterday.I made protein shake,banana shake.Product quality is good. It is easy to use.I am satisfied with it.",4.0,2019-05-01
388,Glass jar extra for this model,  Glasss jar is must please make it available without jar it’s of no use,0.0,2019-05-01
389,Wonderful,  Thank you amazon for this wonderful portable blender,0.0,2019-04-28
390,Not for air travel,  The product is good ..but fails when it comes to air travel ..you can take it on the aircraft ..not as a carryon due to the blades and not in check in due to power bank,3.0,2019-04-27
391,Fair,  Fair,2.0,2019-04-27
392,Value for money and durable,  Amazing product! Its a handy product especially for people living away from their homes. Its easy to use and clean. It looks really durable! Also the customer service is impressive.,0.0,2019-04-25
393,Value for money product.. must buy,"  Your browser does not support HTML5 video.


   Fully satisfied with this product. Earlier i thought it is in a big size but the size is actually very portable and the power of the machine is fantastic. It comes with 1 year of warranty which ensures you about tha long duration performance of the product. Quality of the product is very good for sure and there is no doubt about the performance. Blades are enough sharp to make any type of juices and smoothies. And there is a safety feature in which the machine can be operated only when you fix the jar on the machine which secures you to get injured. It operates for 20 sec continuously and you can restart it by double pressing the button.  I am a hostelier and this product is very useful for me.. specially in summers.",4.0,2019-04-10
394,A blender that blends well with your wallet,"  This is handy and ease to use. Explored couple of recipes like smoothies and juices, felt really cool. Will be using in daily cooking because of the convenience.",0.0,2019-04-06
395,Worst,  Very worst not even grinding banana.... waste of money.... disappointed...,1.0,2019-04-05
396,Glass jar,  Needed extra glass jar,4.0,2019-04-04
397,I like the design n performance of the product,  If ur going for workout u must buy this product it was awesome and more powerful then other portable blenders,0.0,2019-04-03
398,Amazing Product,"  Thanks to Amazon for bringing this product to us. I m using it for my baby. Brayden Fito Rush, amazing product. Really happy 👌🏻👌🏻",0.0,2019-03-27
